step,district,population,perimeter,area,polsby_popper
2940,4,812455.0,2256022.2286000103,158008446419.72662,0.3901246734455929
2960,2,820734.0,953862.4310409871,28333914260.080196,0.39133162968637397
2960,1,810030.0,405752.4226802921,2549435247.6989894,0.19459496845636257
2960,3,825382.0,2245460.1817065794,164851947691.95428,0.41085940247812835
2960,4,815470.0,918675.255939648,24073379102.468887,0.3584452924265537
2980,2,819943.0,1184229.6329589998,38561857418.25551,0.3455381152711979
2980,1,819390.0,606979.2628116196,8147515090.733689,0.277899221316441
2980,3,813558.0,2758326.398489541,160795013755.98853,0.26557740895913984
2980,4,818725.0,755836.7730302177,12304290037.224667,0.2706514692050227
3000,2,824733.0,2350327.147450723,177291533446.8498,0.4033120766108245
3000,1,818519.0,921668.9925823787,19673737775.26191,0.29103605087850865
3000,3,811241.0,676625.4609980301,15854973747.43088,0.4351898115285158
3000,4,817123.0,621586.5632225197,6988431332.659819,0.22729314119925256
3020,2,816252.0,780841.2603309915,11760551543.706673,0.24238851956685364
3020,1,813279.0,934678.2669693243,21090345346.97204,0.30336764901230884
3020,3,819438.0,908211.0764946005,27909030702.343403,0.42518802935805816
3020,4,822647.0,2240607.12975432,159048748709.1803,0.3981151398021266
3040,2,824689.0,2011956.1947135958,139346695482.76285,0.43258304817615717
3040,1,815775.0,1237416.6595249362,27923504233.116608,0.22916477632180152
3040,3,813814.0,1160863.2253163795,50517289017.39267,0.47107254484971023
3040,4,817338.0,359098.0492527406,2021187568.930246,0.19696560335233673
3060,2,822646.0,916904.2595044714,14897320470.66033,0.22267427341748033
3060,1,810252.0,2210543.8297284083,170111205531.43976,0.4374662221162629
3060,3,823476.0,928027.3790797743,31408623712.567596,0.45828663516507767
3060,4,815242.0,415186.95796951314,3391526587.5346823,0.24723940196271235
3080,2,820829.0,956332.6465379362,23848503307.138832,0.3276823347786762
3080,1,816837.0,826104.0264010539,18636109657.84944,0.34315919744319695
3080,3,814925.0,2315193.4596826723,173853662395.86703,0.4075858835798615
3080,4,819025.0,483820.90658960334,3470400941.347101,0.18630317431871926
3100,2,810864.0,262348.39238835435,1030108490.6507081,0.18807714183957744
3100,1,823747.0,940467.2179518861,29490454749.1362,0.41899033958973486
3100,3,822522.0,882208.9169468555,27615651060.655693,0.4458843858482433
3100,4,814483.0,2240621.2255810127,161672462001.7598,0.4046774683946272
3120,2,817904.0,627239.3360306917,13881796347.819426,0.4433931301986092
3120,1,822581.0,2214597.0511613907,155751254102.4518,0.39907266541936814
3120,3,819583.0,431245.61260546034,3844270114.8826723,0.2597612587345173
3120,4,811548.0,1498537.626685741,46331355737.04851,0.2592683885870498
3140,2,818578.0,2128754.089540873,142522321515.12454,0.39522259129075665
3140,1,819104.0,1284711.6410999692,36652149882.35155,0.27906026293961295
3140,3,817903.0,942490.5907420006,16104865776.196318,0.22783105818797972
3140,4,816031.0,867197.8044009276,24529339128.529964,0.40988249611116423
3160,2,810971.0,354915.30194933625,2410041999.351121,0.2404279906412112
3160,1,816772.0,1401461.1900053457,40794726351.86732,0.26100674893448206
3160,3,820054.0,2068596.9951099553,147439042742.93356,0.4329827431752744
3160,4,823819.0,995258.3330417481,29164865208.050358,0.3699969913468278
3180,2,813948.0,862448.0113624173,15730302944.005104,0.2657547895961543
3180,1,822283.0,1049247.0118598682,28253990064.77294,0.32250330528463567
3180,3,824164.0,2190829.0558761586,173444738642.94846,0.4541026225344537
3180,4,811221.0,360717.11691180913,2379644650.4758368,0.22982034430321607
3200,2,819112.0,2259935.8928882917,173936062789.80148,0.4279640212798503
3200,1,821123.0,882728.9546908983,24657483452.663475,0.397652639802049
3200,3,821108.0,795742.2793396744,19179026943.719715,0.3806199659953769
3200,4,810273.0,320326.50243491645,2036103116.0176642,0.24935833472814464
3220,2,821305.0,2340450.8700612034,174215280474.3098,0.3996658587527555
3220,1,810889.0,483159.03571867815,3068516362.5160584,0.16518024114478785
3220,3,813466.0,826611.2905410853,24293625073.227596,0.4467859657876994
3220,4,825956.0,835098.70266859,18231254392.148888,0.3285116663092994
3240,2,809740.0,920699.2020908054,20479502764.439545,0.3035943873647146
3240,1,826025.0,655442.082205175,13924752076.02462,0.40731339486379664
3240,3,818525.0,1368474.8996164163,26017426573.65689,0.17458242814471406
3240,4,817326.0,2279086.4284308953,159386994888.0813,0.38560366807134183
3260,2,819772.0,739056.7103888845,14849252706.660875,0.34163230646368153
3260,1,821301.0,1180023.6515849053,29199295204.813835,0.26351224965241743
3260,3,820737.0,490162.09729202965,4275877252.086146,0.22364317143464305
3260,4,809806.0,2452501.0858328277,171484251138.6415,0.3582743267710868
3280,2,819598.0,772410.0493721403,14989323069.484653,0.3157156084542041
3280,1,820152.0,988923.6916571589,15837226257.88471,0.20349953560761974
3280,3,813744.0,1195229.4935467169,32076091754.94715,0.28215562232779123
3280,4,818122.0,2100007.104053776,156906035219.88586,0.44710341268574355
3300,2,820051.0,186955.44044558596,556177850.8740947,0.1999619384286121
3300,1,810711.0,2153987.0538052656,159792425041.16443,0.43279264768857406
3300,3,821730.0,1062404.6156769341,32289229481.954525,0.3594906902374903
3300,4,819124.0,895602.1858555559,27170843928.209297,0.4256794669927602
3320,2,820438.0,939820.6681597182,29490918139.37901,0.41957361959400813
3320,1,816250.0,2168055.2367185224,166292062179.32852,0.4445705576406891
3320,3,812437.0,968775.9351845061,23356236176.984108,0.3127274746106656
3320,4,822491.0,216220.53075645177,669459806.5107204,0.17994530238309525
3340,2,817070.0,2323270.519756995,166892966529.7698,0.388551272013183
3340,1,809913.0,1274766.6473422442,46228397695.06433,0.35748458581919046
3340,3,824273.0,506045.21221712686,5890814127.610146,0.2890723434211265
3340,4,820360.0,228198.80909482774,796497949.7580911,0.19220637100711618
3360,2,813784.0,913260.9157740062,28022171532.61047,0.4222035761592772
3360,1,817885.0,665798.2816892371,8824824352.793297,0.25016733039735906
3360,3,817399.0,813886.3701853324,18173454641.25693,0.3447623276757797
3360,4,822548.0,2233851.251348057,164788225775.54166,0.4149803573781151
3380,2,825137.0,2278512.6675020787,165526681227.74316,0.40065906836432047
3380,1,818460.0,369701.1664874027,2371091203.89149,0.21799999402307133
3380,3,812672.0,1252397.6836090435,33740481932.999516,0.2703190386070002
3380,4,815347.0,882367.1610426505,18170421937.568165,0.2932757830005273
3400,2,811774.0,333308.37061037886,1597588442.3107655,0.18071006117533286
3400,1,823379.0,878144.7159112664,27569571621.57712,0.4492702873444721
3400,3,819572.0,2075568.8622001717,162454668568.8393,0.4738793313299642
3400,4,816891.0,878897.5213910458,28186847669.475136,0.4585428152640612
3420,2,812047.0,2253944.068941145,124664685088.41809,0.3083663913313866
3420,1,815525.0,900324.7733356759,32316398431.029655,0.500996183208435
3420,3,818347.0,1846838.6343085573,42174528882.51164,0.15538253476929437
3420,4,825697.0,791885.4216774564,20653063900.242916,0.4138754415473109
3440,2,812759.0,950400.5805094584,31888727694.76585,0.4436430375746511
3440,1,820869.0,980745.4435236626,23145549628.01637,0.3023881472566151
3440,3,812825.0,286867.20691117103,1362653669.3142412,0.20808153559806253
3440,4,825163.0,1927373.407949259,163411745310.10583,0.5527915643936461
3460,2,817436.0,744472.1494275801,16304273741.667526,0.3696701735036474
3460,1,812291.0,255417.66574752255,1107240694.307193,0.21327995471335925
3460,3,816734.0,1094829.9588902364,21040655408.019543,0.2205849011206915
3460,4,825155.0,2075723.1580329663,181356506458.20804,0.5289372391306456
3480,2,819772.0,2053752.9718702259,163949039182.65665,0.4884524925113517
3480,1,811107.0,1183398.8972986054,32527515186.13263,0.2918760308773858
3480,3,821594.0,892804.5904361261,22226188441.20099,0.35039832948909894
